"","GEOID","B06003_001","B06003_002","B06003_003","B06003_004","B06003_005","B06003_006","B06003_007","B06003_008","B06003_009","B06003_010","B06003_011","B06003_012","B06003_013","B06003_014","B06003_015"
"Aiken County, South Carolina","45003",165707,80260,85447,66188,32364,33824,90206,43356,46850,1890,853,1037,7423,3687,3736
"Allendale County, South Carolina","45005",9402,4952,4450,7471,3927,3544,1742,919,823,76,42,34,113,64,49
"Newberry County, South Carolina","45071",37914,18494,19420,29360,14345,15015,6688,3197,3491,198,133,65,1668,819,849
"Edgefield County, South Carolina","45037",26620,14332,12288,11935,5977,5958,13371,7333,6038,260,184,76,1054,838,216
"Chester County, South Carolina","45023",32424,15850,16574,24250,11840,12410,7795,3844,3951,66,45,21,313,121,192
"Clarendon County, South Carolina","45027",34156,16822,17334,25971,12696,13275,7445,3736,3709,204,52,152,536,338,198
"Colleton County, South Carolina","45029",37581,18265,19316,28623,13908,14715,8020,3803,4217,130,76,54,808,478,330
"Marion County, South Carolina","45067",31765,14675,17090,25913,11681,14232,4991,2545,2446,91,27,64,770,422,348
"Sumter County, South Carolina","45085",107379,51688,55691,70507,33882,36625,31709,15354,16355,1668,946,722,3495,1506,1989
"Lexington County, South Carolina","45063",281870,137467,144403,169556,82623,86933,94250,45577,48673,3414,1570,1844,14650,7697,6953
"Oconee County, South Carolina","45073",75926,37417,38509,44579,22075,22504,27637,13676,13961,779,269,510,2931,1397,1534
"Barnwell County, South Carolina","45011",21788,10369,11419,15703,7715,7988,5667,2448,3219,108,39,69,310,167,143
"Berkeley County, South Carolina","45015",204632,101773,102859,104398,51349,53049,86097,43526,42571,3366,1741,1625,10771,5157,5614
"Charleston County, South Carolina","45019",387847,187854,199993,205557,99474,106083,158112,75731,82381,4958,2587,2371,19220,10062,9158
"Darlington County, South Carolina","45031",67572,31915,35657,53247,25396,27851,12845,5721,7124,287,85,202,1193,713,480
"Georgetown County, South Carolina","45043",61065,28957,32108,37231,17292,19939,21883,10666,11217,439,229,210,1512,770,742
"Marlboro County, South Carolina","45069",27505,14565,12940,19896,10171,9725,6707,3681,3026,190,122,68,712,591,121
"York County, South Carolina","45091",251664,121451,130213,99948,47548,52400,136543,66596,69947,2725,1168,1557,12448,6139,6309
"Anderson County, South Carolina","45007",194174,93474,100700,132000,63676,68324,55545,26647,28898,1309,690,619,5320,2461,2859
"Cherokee County, South Carolina","45021",56549,27527,29022,40457,19806,20651,14615,7052,7563,283,121,162,1194,548,646
"Chesterfield County, South Carolina","45025",46127,22685,23442,30075,14721,15354,14394,6862,7532,131,101,30,1527,1001,526
"Greenwood County, South Carolina","45047",69981,32489,37492,50689,23281,27408,15918,7417,8501,439,264,175,2935,1527,1408
"Jasper County, South Carolina","45053",27465,14058,13407,13848,6645,7203,11214,5859,5355,96,47,49,2307,1507,800
"Horry County, South Carolina","45051",310186,150251,159935,116647,56347,60300,170582,82642,87940,3358,1724,1634,19599,9538,10061
"Kershaw County, South Carolina","45055",63734,30877,32857,42482,20380,22102,19234,9481,9753,644,343,301,1374,673,701
"Lee County, South Carolina","45061",17897,9246,8651,14735,7390,7345,3024,1798,1226,42,31,11,96,27,69
"Orangeburg County, South Carolina","45075",89116,41789,47327,71454,33460,37994,15484,7158,8326,344,257,87,1834,914,920
"Spartanburg County, South Carolina","45083",297732,144327,153405,188879,91833,97046,86982,41633,45349,2697,1331,1366,19174,9530,9644
"Abbeville County, South Carolina","45001",24788,12044,12744,18979,9378,9601,5515,2533,2982,63,31,32,231,102,129
"Bamberg County, South Carolina","45009",14842,7218,7624,12152,5822,6330,2420,1197,1223,14,8,6,256,191,65
"Beaufort County, South Carolina","45013",179316,88524,90792,51531,25098,26433,110121,54128,55993,2323,1165,1158,15341,8133,7208
"Calhoun County, South Carolina","45017",14808,7071,7737,10971,5195,5776,3373,1553,1820,50,27,23,414,296,118
"Dillon County, South Carolina","45033",31073,14568,16505,24551,11631,12920,5492,2395,3097,178,69,109,852,473,379
"Saluda County, South Carolina","45081",20228,10050,10178,14892,7336,7556,3352,1515,1837,164,109,55,1820,1090,730
"Richland County, South Carolina","45079",404869,196424,208445,227956,109351,118605,146341,72081,74260,8015,4019,3996,22557,10973,11584
"Fairfield County, South Carolina","45039",22868,10782,12086,18878,8926,9952,3517,1606,1911,79,33,46,394,217,177
"Hampton County, South Carolina","45049",20066,10350,9716,16162,7810,8352,3266,2091,1175,126,90,36,512,359,153
"Greenville County, South Carolina","45045",490332,238009,252323,258710,125549,133161,187215,89527,97688,5686,2569,3117,38721,20364,18357
"Lancaster County, South Carolina","45057",86544,42328,44216,44800,22449,22351,37543,18105,19438,803,229,574,3398,1545,1853
"Dorchester County, South Carolina","45035",151716,73919,77797,76175,36943,39232,66031,32444,33587,2440,1192,1248,7070,3340,3730
"Florence County, South Carolina","45041",138537,64593,73944,103286,48171,55115,30666,14231,16435,805,389,416,3780,1802,1978
"Laurens County, South Carolina","45059",66508,32342,34166,49230,23785,25445,15140,7421,7719,543,248,295,1595,888,707
"McCormick County, South Carolina","45065",9694,5440,4254,5332,3081,2251,4121,2249,1872,86,76,10,155,34,121
"Pickens County, South Carolina","45077",121449,60358,61091,74484,37898,36586,41352,19555,21797,1006,426,580,4607,2479,2128
"Union County, South Carolina","45087",27772,13346,14426,23338,11170,12168,4162,2004,2158,48,34,14,224,138,86
"Williamsburg County, South Carolina","45089",32256,15564,16692,26730,12370,14360,4677,2537,2140,274,235,39,575,422,153
