"","GEOID","B07007_001","B07007_002","B07007_003","B07007_004","B07007_005","B07007_006","B07007_007","B07007_008","B07007_009","B07007_010","B07007_011","B07007_012","B07007_013","B07007_014","B07007_015","B07007_016","B07007_017","B07007_018","B07007_019","B07007_020","B07007_021","B07007_022","B07007_023","B07007_024","B07007_025","B07007_026","B07007_027","B07007_028","B07007_029","B07007_030"
"Aiken County, South Carolina","45003",163747,156324,7423,2481,4942,142231,135992,6239,2300,3939,13208,12505,703,112,591,2603,2493,110,19,91,5334,5113,221,50,171,371,221,150,0,150
"Allendale County, South Carolina","45005",9359,9246,113,7,106,8367,8261,106,0,106,286,286,0,0,0,600,593,7,7,0,106,106,0,0,0,0,0,0,0,0
"Newberry County, South Carolina","45071",37468,35800,1668,368,1300,33793,32176,1617,326,1291,2185,2167,18,18,0,988,964,24,24,0,412,412,0,0,0,90,81,9,0,9
"Edgefield County, South Carolina","45037",26497,25443,1054,256,798,22941,22057,884,187,697,1211,1190,21,9,12,1510,1438,72,23,49,737,660,77,37,40,98,98,0,0,0
"Chester County, South Carolina","45023",31922,31609,313,206,107,30043,29730,313,206,107,900,900,0,0,0,674,674,0,0,0,276,276,0,0,0,29,29,0,0,0
"Clarendon County, South Carolina","45027",33792,33256,536,147,389,30468,30055,413,147,266,1604,1602,2,0,2,1120,1116,4,0,4,519,443,76,0,76,81,40,41,0,41
"Colleton County, South Carolina","45029",37272,36464,808,194,614,33951,33186,765,194,571,1781,1781,0,0,0,947,947,0,0,0,587,544,43,0,43,6,6,0,0,0
"Marion County, South Carolina","45067",31390,30620,770,206,564,28323,27888,435,206,229,1749,1706,43,0,43,409,392,17,0,17,611,611,0,0,0,298,23,275,0,275
"Sumter County, South Carolina","45085",105784,102289,3495,1494,2001,89421,86732,2689,1287,1402,9921,9487,434,156,278,2401,2343,58,4,54,3305,3192,113,47,66,736,535,201,0,201
"Lexington County, South Carolina","45063",278628,264026,14602,5441,9161,238596,226506,12090,4773,7317,21378,20495,883,311,572,10906,10492,414,110,304,6451,5945,506,247,259,1297,588,709,0,709
"Oconee County, South Carolina","45073",75190,72259,2931,1135,1796,64936,62528,2408,909,1499,5263,5073,190,115,75,2834,2666,168,27,141,2044,1904,140,84,56,113,88,25,0,25
"Barnwell County, South Carolina","45011",21522,21212,310,186,124,18750,18465,285,176,109,1493,1478,15,0,15,667,657,10,10,0,577,577,0,0,0,35,35,0,0,0
"Berkeley County, South Carolina","45015",201889,191118,10771,4842,5929,168913,159733,9180,4311,4869,12746,12275,471,189,282,9087,8721,366,132,234,10435,9955,480,184,296,708,434,274,26,248
"Charleston County, South Carolina","45019",382933,363730,19203,8044,11159,320011,304783,15228,6995,8233,35447,33665,1782,601,1181,11408,10912,496,173,323,14647,13827,820,260,560,1420,543,877,15,862
"Darlington County, South Carolina","45031",66802,65609,1193,447,746,58759,57840,919,343,576,4244,4244,0,0,0,2871,2708,163,71,92,882,777,105,33,72,46,40,6,0,6
"Georgetown County, South Carolina","45043",60599,59087,1512,730,782,53528,52234,1294,616,678,3390,3301,89,63,26,1969,1900,69,51,18,1660,1628,32,0,32,52,24,28,0,28
"Marlboro County, South Carolina","45069",27199,26487,712,184,528,24234,23660,574,155,419,1547,1512,35,0,35,777,771,6,6,0,579,496,83,11,72,62,48,14,12,2
"York County, South Carolina","45091",248659,236211,12448,5902,6546,211599,201485,10114,4965,5149,19218,18640,578,266,312,6074,5827,247,92,155,10933,9956,977,579,398,835,303,532,0,532
"Anderson County, South Carolina","45007",191882,186562,5320,2183,3137,166262,161846,4416,1852,2564,14776,14479,297,170,127,6091,5867,224,52,172,4213,4042,171,79,92,540,328,212,30,182
"Cherokee County, South Carolina","45021",55925,54731,1194,524,670,49785,48669,1116,478,638,3886,3880,6,6,0,1403,1340,63,40,23,753,753,0,0,0,98,89,9,0,9
"Chesterfield County, South Carolina","45025",45723,44196,1527,414,1113,40997,39566,1431,402,1029,2610,2573,37,0,37,1275,1275,0,0,0,752,706,46,12,34,89,76,13,0,13
"Greenwood County, South Carolina","45047",69422,66557,2865,637,2228,59322,56831,2491,577,1914,5817,5560,257,40,217,2595,2569,26,20,6,1624,1550,74,0,74,64,47,17,0,17
"Jasper County, South Carolina","45053",27158,24861,2297,402,1895,23702,21662,2040,323,1717,1166,1082,84,0,84,1289,1169,120,69,51,973,932,41,10,31,28,16,12,0,12
"Horry County, South Carolina","45051",307568,287969,19599,8091,11508,258379,242036,16343,7051,9292,28604,26967,1637,536,1101,4517,4254,263,73,190,14864,14197,667,408,259,1204,515,689,23,666
"Kershaw County, South Carolina","45055",63030,61656,1374,799,575,58310,57137,1173,751,422,2614,2447,167,40,127,985,975,10,0,10,857,833,24,8,16,264,264,0,0,0
"Lee County, South Carolina","45061",17717,17621,96,58,38,16421,16325,96,58,38,494,494,0,0,0,689,689,0,0,0,107,107,0,0,0,6,6,0,0,0
"Orangeburg County, South Carolina","45075",88299,86465,1834,607,1227,79777,78187,1590,578,1012,5305,5290,15,7,8,2126,2017,109,22,87,841,841,0,0,0,250,130,120,0,120
"Spartanburg County, South Carolina","45083",294405,275231,19174,8323,10851,249691,233745,15946,7343,8603,27902,26402,1500,521,979,8741,8335,406,124,282,7249,6426,823,335,488,822,323,499,0,499
"Abbeville County, South Carolina","45001",24492,24261,231,77,154,21886,21674,212,68,144,1011,1006,5,5,0,1226,1216,10,4,6,351,351,0,0,0,18,14,4,0,4
"Bamberg County, South Carolina","45009",14688,14432,256,102,154,13484,13249,235,99,136,333,318,15,0,15,527,524,3,3,0,333,333,0,0,0,11,8,3,0,3
"Beaufort County, South Carolina","45013",177523,162189,15334,5682,9652,143742,131292,12450,4722,7728,15313,13902,1411,511,900,2824,2645,179,50,129,14538,13798,740,341,399,1106,552,554,58,496
"Calhoun County, South Carolina","45017",14726,14312,414,166,248,13919,13541,378,138,240,311,311,0,0,0,383,383,0,0,0,113,77,36,28,8,0,0,0,0,0
"Dillon County, South Carolina","45033",30670,29818,852,369,483,27650,27015,635,173,462,2020,1891,129,124,5,579,579,0,0,0,378,290,88,72,16,43,43,0,0,0
"Saluda County, South Carolina","45081",19986,18182,1804,246,1558,18720,17090,1630,246,1384,474,452,22,0,22,381,374,7,0,7,297,245,52,0,52,114,21,93,0,93
"Richland County, South Carolina","45079",400360,377828,22532,10356,12176,310600,293192,17408,8974,8434,39589,38121,1468,530,938,20412,19815,597,267,330,26957,25303,1654,569,1085,2802,1397,1405,16,1389
"Fairfield County, South Carolina","45039",22760,22366,394,110,284,21590,21327,263,110,153,679,599,80,0,80,253,253,0,0,0,154,154,0,0,0,84,33,51,0,51
"Hampton County, South Carolina","45049",19902,19390,512,235,277,18267,17851,416,235,181,961,915,46,0,46,174,174,0,0,0,472,435,37,0,37,28,15,13,0,13
"Greenville County, South Carolina","45045",483771,445080,38691,14477,24214,412257,381136,31121,12845,18276,41129,37893,3236,818,2418,11438,10466,972,306,666,15253,13963,1290,382,908,3694,1622,2072,126,1946
"Lancaster County, South Carolina","45057",85557,82159,3398,1686,1712,75621,72571,3050,1501,1549,5222,5172,50,37,13,1525,1512,13,13,0,2962,2858,104,70,34,227,46,181,65,116
"Dorchester County, South Carolina","45035",150070,143000,7070,3886,3184,126283,120330,5953,3563,2390,10013,9647,366,138,228,8252,7954,298,107,191,4873,4609,264,78,186,649,460,189,0,189
"Florence County, South Carolina","45041",136605,132825,3780,1914,1866,119640,116467,3173,1811,1362,11321,10997,324,46,278,3628,3578,50,0,50,1881,1719,162,57,105,135,64,71,0,71
"Laurens County, South Carolina","45059",65900,64305,1595,458,1137,55060,53873,1187,388,799,6067,5840,227,17,210,3404,3295,109,50,59,1187,1174,13,3,10,182,123,59,0,59
"McCormick County, South Carolina","45065",9654,9499,155,134,21,8466,8319,147,134,13,287,283,4,0,4,648,648,0,0,0,231,227,4,0,4,22,22,0,0,0
"Pickens County, South Carolina","45077",120142,115535,4607,1394,3213,96435,93299,3136,1088,2048,10712,9873,839,176,663,8116,8002,114,102,12,4363,4129,234,20,214,516,232,284,8,276
"Union County, South Carolina","45087",27472,27248,224,58,166,24131,23985,146,48,98,2363,2289,74,6,68,892,888,4,4,0,57,57,0,0,0,29,29,0,0,0
"Williamsburg County, South Carolina","45089",32046,31471,575,224,351,29358,28927,431,223,208,1440,1440,0,0,0,785,765,20,0,20,271,259,12,1,11,192,80,112,0,112
