"","GEOID","B06003_001","B06003_002","B06003_003","B06003_004","B06003_005","B06003_006","B06003_007","B06003_008","B06003_009","B06003_010","B06003_011","B06003_012","B06003_013","B06003_014","B06003_015"
"Newberry County School District, South Carolina","4503030",37914,18494,19420,29360,14345,15015,6688,3197,3491,198,133,65,1668,819,849
"Oconee County School District, South Carolina","4503060",75926,37417,38509,44579,22075,22504,27637,13676,13961,779,269,510,2931,1397,1534
"Marlboro County School District, South Carolina","4502970",27505,14565,12940,19896,10171,9725,6707,3681,3026,190,122,68,712,591,121
"McCormick County School District, South Carolina","4503000",9694,5440,4254,5332,3081,2251,4121,2249,1872,86,76,10,155,34,121
"Orangeburg School District 3, South Carolina","4503150",19885,9300,10585,15647,7248,8399,3986,1929,2057,69,9,60,183,114,69
"Orangeburg School District 4, South Carolina","4503180",19598,9333,10265,17411,8351,9060,1959,835,1124,20,10,10,208,137,71
"Orangeburg School District 5, South Carolina","4503210",49633,23156,26477,38396,17861,20535,9539,4394,5145,255,238,17,1443,663,780
"Pickens County School District, South Carolina","4503330",121449,60358,61091,74484,37898,36586,41352,19555,21797,1006,426,580,4607,2479,2128
"Richland School District 1, South Carolina","4503360",202972,99485,103487,130790,63877,66913,59976,29277,30699,2504,1275,1229,9702,5056,4646
"Richland School District 2, South Carolina","4503390",137543,62758,74785,69971,31944,38027,53513,24422,29091,4195,1997,2198,9864,4395,5469
"Spartanburg School District 3, South Carolina","4503540",15488,7777,7711,11320,5774,5546,3466,1765,1701,17,17,0,685,221,464
"Saluda County School District, South Carolina","4503460",15629,7696,7933,11133,5399,5734,2759,1298,1461,150,109,41,1587,890,697
"Spartanburg School District 1, South Carolina","4503480",29891,14717,15174,17989,8748,9241,10505,5182,5323,244,106,138,1153,681,472
"Spartanburg School District 2, South Carolina","4503510",59709,28718,30991,37528,18223,19305,17775,8510,9265,657,312,345,3749,1673,2076
"Spartanburg School District 4, South Carolina","4503570",20093,10224,9869,14543,7588,6955,4775,2288,2487,61,9,52,714,339,375
"Spartanburg School District 5, South Carolina","4503600",45670,22069,23601,27151,13422,13729,15329,7227,8102,325,151,174,2865,1269,1596
"Spartanburg School District 6, South Carolina","4503630",66971,32675,34296,41655,20156,21499,18254,8693,9561,754,327,427,6308,3499,2809
"Spartanburg School District 7, South Carolina","4503660",51472,24069,27403,34275,15773,18502,14198,6745,7453,482,314,168,2517,1237,1280
"Union County School District, South Carolina","4503750",27772,13346,14426,23338,11170,12168,4162,2004,2158,48,34,14,224,138,86
"Williamsburg County School District, South Carolina","4503780",32256,15564,16692,26730,12370,14360,4677,2537,2140,274,235,39,575,422,153
"York School District 1, South Carolina","4503810",32555,16028,16527,17693,8782,8911,13635,6545,7090,191,151,40,1036,550,486
"York School District 2, South Carolina","4503840",39986,19386,20600,9317,4503,4814,28636,13998,14638,541,180,361,1492,705,787
"York School District 3, South Carolina","4503870",116548,56160,60388,61287,29202,32085,49120,24016,25104,1160,494,666,4981,2448,2533
"York School District 4, South Carolina","4503900",62575,29877,32698,11651,5061,6590,45152,22037,23115,833,343,490,4939,2436,2503
"Remainder of South Carolina, South Carolina","4599999",17425,11245,6180,1581,826,755,14196,9307,4889,615,412,203,1033,700,333
"Dillon School District 4, South Carolina","4501920",23724,11149,12575,18445,8767,9678,4346,1898,2448,175,66,109,758,418,340
"Marion School District 10, South Carolina","4503908",31765,14675,17090,25913,11681,14232,4991,2545,2446,91,27,64,770,422,348
"Sumter County Consolidated School District, South Carolina","4503902",107379,51688,55691,70507,33882,36625,31709,15354,16355,1668,946,722,3495,1506,1989
"Aiken County School District, South Carolina","4500720",168214,81567,86647,68131,33382,34749,90608,43530,47078,1904,853,1051,7571,3802,3769
"Anderson School District 1, South Carolina","4500780",53669,26375,27294,36159,17839,18320,15414,7404,8010,509,274,235,1587,858,729
"Dorchester School District 4, South Carolina","4500002",18105,9166,8939,14156,7026,7130,3652,1906,1746,96,65,31,201,169,32
"Abbeville County School District, South Carolina","4500690",23617,11513,12104,18001,8931,9070,5322,2449,2873,63,31,32,231,102,129
"Allendale County School District, South Carolina","4500750",9402,4952,4450,7471,3927,3544,1742,919,823,76,42,34,113,64,49
"Anderson School District 2, South Carolina","4500810",22972,10974,11998,17612,8642,8970,5165,2230,2935,42,42,0,153,60,93
"Anderson School District 3, South Carolina","4500840",14684,7214,7470,11424,5648,5776,3054,1462,1592,27,27,0,179,77,102
"Anderson School District 4, South Carolina","4500870",21360,10892,10468,13923,7186,6737,6740,3356,3384,133,103,30,564,247,317
"Bamberg School District 2, South Carolina","4500960",6693,3482,3211,5361,2735,2626,1194,622,572,9,6,3,129,119,10
"Barnwell School District 45, South Carolina","4501080",12240,5718,6522,8788,4231,4557,3215,1362,1853,88,39,49,149,86,63
"Anderson School District 5, South Carolina","4500900",81672,38140,43532,52998,24422,28576,25239,12255,12984,598,244,354,2837,1219,1618
"Bamberg School District 1, South Carolina","4500930",8149,3736,4413,6791,3087,3704,1226,575,651,5,2,3,127,72,55
"Barnwell School District 19, South Carolina","4501020",4757,2139,2618,3630,1699,1931,1012,395,617,9,0,9,106,45,61
"Barnwell School District 29, South Carolina","4501050",4791,2512,2279,3285,1785,1500,1440,691,749,11,0,11,55,36,19
"Calhoun County School District, South Carolina","4501250",14808,7071,7737,10971,5195,5776,3373,1553,1820,50,27,23,414,296,118
"Beaufort County School District, South Carolina","4501110",178605,87900,90705,51471,25057,26414,109508,53583,55925,2307,1149,1158,15319,8111,7208
"Berkeley County School District, South Carolina","4501170",204632,101773,102859,104398,51349,53049,86097,43526,42571,3366,1741,1625,10771,5157,5614
"Charleston County School District, South Carolina","4501440",387847,187854,199993,205557,99474,106083,158112,75731,82381,4958,2587,2371,19220,10062,9158
"Cherokee County School District, South Carolina","4501500",54936,26711,28225,39214,19132,20082,14266,6931,7335,283,121,162,1173,527,646
"Chester County School District, South Carolina","4501530",32424,15850,16574,24250,11840,12410,7795,3844,3951,66,45,21,313,121,192
"Chesterfield County School District, South Carolina","4501560",46127,22685,23442,30075,14721,15354,14394,6862,7532,131,101,30,1527,1001,526
"Clarendon School District 1, South Carolina","4501740",8414,3994,4420,5793,2572,3221,2519,1371,1148,60,39,21,42,12,30
"Clarendon School District 2, South Carolina","4501770",18671,8762,9909,14093,6712,7381,4111,1837,2274,129,6,123,338,207,131
"Clarendon School District 3, South Carolina","4501800",7071,4066,3005,6085,3412,2673,815,528,287,15,7,8,156,119,37
"Colleton County School District, South Carolina","4501830",37581,18265,19316,28623,13908,14715,8020,3803,4217,130,76,54,808,478,330
"Dillon School District 3, South Carolina","4501950",7349,3419,3930,6106,2864,3242,1146,497,649,3,3,0,94,55,39
"Darlington County School District, South Carolina","4501860",67572,31915,35657,53247,25396,27851,12845,5721,7124,287,85,202,1193,713,480
"Dorchester School District 2, South Carolina","4502010",133611,64753,68858,62019,29917,32102,62379,30538,31841,2344,1127,1217,6869,3171,3698
"Edgefield County School District, South Carolina","4502070",26620,14332,12288,11935,5977,5958,13371,7333,6038,260,184,76,1054,838,216
"Fairfield County School District, South Carolina","4502100",22868,10782,12086,18878,8926,9952,3517,1606,1911,79,33,46,394,217,177
"Florence School District 1, South Carolina","4502130",99654,46162,53492,69932,32412,37520,25977,12016,13961,674,305,369,3071,1429,1642
"Florence School District 2, South Carolina","4502160",7306,3570,3736,6221,3038,3183,931,457,474,5,5,0,149,70,79
"Georgetown County School District, South Carolina","4502280",61065,28957,32108,37231,17292,19939,21883,10666,11217,439,229,210,1512,770,742
"Florence School District 3, South Carolina","4502190",19789,9261,10528,16939,7813,9126,2439,1165,1274,83,64,19,328,219,109
"Florence School District 4, South Carolina","4502220",6414,2982,3432,5468,2533,2935,754,386,368,43,15,28,149,48,101
"Florence School District 5, South Carolina","4502250",5374,2618,2756,4726,2375,2351,565,207,358,0,0,0,83,36,47
"Greenville County School District, South Carolina","4502310",506550,245958,260592,268095,130154,137941,192501,92055,100446,5867,2681,3186,40087,21068,19019
"Greenwood School District 50, South Carolina","4502340",58214,27201,31013,42058,19314,22744,12888,6131,6757,432,264,168,2836,1492,1344
"Greenwood School District 51, South Carolina","4502370",6898,3321,3577,5651,2707,2944,1176,591,585,25,11,14,46,12,34
"Horry County School District, South Carolina","4502490",310186,150251,159935,116647,56347,60300,170582,82642,87940,3358,1724,1634,19599,9538,10061
"Greenwood School District 52, South Carolina","4502400",7957,3426,4531,5546,2458,3088,2349,945,1404,0,0,0,62,23,39
"Hampton School District 1, South Carolina","4502430",12403,6051,6352,10442,4999,5443,1786,978,808,39,24,15,136,50,86
"Hampton School District 2, South Carolina","4502460",7663,4299,3364,5720,2811,2909,1480,1113,367,87,66,21,376,309,67
"Jasper County School District, South Carolina","4502520",27465,14058,13407,13848,6645,7203,11214,5859,5355,96,47,49,2307,1507,800
"Kershaw County School District, South Carolina","4502550",63734,30877,32857,42482,20380,22102,19234,9481,9753,644,343,301,1374,673,701
"Lancaster County School District, South Carolina","4502580",86544,42328,44216,44800,22449,22351,37543,18105,19438,803,229,574,3398,1545,1853
"Laurens School District 55, South Carolina","4502610",36775,17989,18786,27303,13297,14006,8125,3936,4189,346,151,195,1001,605,396
"Laurens School District 56, South Carolina","4502640",21466,10249,11217,16499,7894,8605,4389,2075,2314,155,69,86,423,211,212
"Lee County School District, South Carolina","4502670",17897,9246,8651,14735,7390,7345,3024,1798,1226,42,31,11,96,27,69
"Lexington School District 1, South Carolina","4502700",135977,67599,68378,79289,40046,39243,48159,23290,24869,1487,673,814,7042,3590,3452
"Lexington School District 2, South Carolina","4502730",64608,31497,33111,41504,20077,21427,17646,8317,9329,1092,563,529,4366,2540,1826
"Lexington School District 3, South Carolina","4502760",13678,6254,7424,10827,4746,6081,2275,1200,1075,90,0,90,486,308,178
"Lexington School District 4, South Carolina","4502790",18314,8615,9699,13039,6088,6951,4759,2284,2475,56,35,21,460,208,252
"Lexington School District 5, South Carolina","4502820",99025,48109,50916,52387,25330,27057,40871,20149,20722,1406,650,756,4361,1980,2381
